batch_size,wall_clock_hours,runner_minutes,suite_runs,throughput_pr_per_hour,wall_clock_reduction_pct,throughput_gain_pct
2,3.0233441551900095,2147.6411250701403,54.68,33.1016631286492,98.0196167732551,4953.437864044812
4,3.181752586011957,2276.2785285952746,35.92,31.51065471705272,97.91585438853411,4710.5478884587565
6,3.2525868871664874,2331.9458920932034,30.6,30.94548994636435,97.86945574693591,4624.267478905892
8,3.3724627271555168,2420.5898302186392,30.66,29.865316323409548,97.79093339201359,4459.36367136101
10,3.487224983378933,2504.968654699498,32.02,29.025513354650812,97.71576059142517,4331.155849773049
12,3.4968537746189305,2512.48471772563,31.56,28.929600497547035,97.70945343759593,4316.513393233836
